original_price,age,condition,brand_tier,resale_price
402683,9,2,3,41008.02
441518,10,5,3,46187.79
69864,6,1,2,7302.36
9353,3,1,1,941.6
12578,6,5,1,1232.19
64723,10,4,2,6639.59
70079,3,4,2,24963.77
438473,10,3,3,45082.1
32803,5,2,2,3360.41
9330,10,2,1,888.16
264806,10,2,3,26754.1
41621,9,1,2,4002.33
26221,2,5,2,16290.35
71203,9,3,2,6986.49
11519,3,4,1,2349.62
70322,10,1,2,7186.68
432013,9,3,3,43378.06
58327,5,4,2,6104.3
293502,0,1,3,229125.36
204831,6,2,3,21391.54
42497,3,2,2,10357.08
22586,9,4,2,2294.12
10644,10,5,1,1041.71
10191,9,1,1,1064.02
11037,7,4,1,1071.28
9020,2,4,1,4079.81
69621,5,2,2,7037.47
23564,8,1,2,2465.86
5424,0,4,1,5248.64
142340,1,2,3,94750.09
15379,2,4,1,7031.48
374369,4,4,3,135507.19
42616,7,1,2,4318.35
18392,5,4,1,1748.59
53399,0,4,2,50885.96
7094,10,5,1,722.96
18741,2,2,1,6246.19
191725,10,2,3,19459.62
469234,3,1,3,170461.96
7507,8,5,1,783.87
53876,2,2,2,23114.03
5028,4,5,1,483.96
25566,1,4,2,19939.19
272057,8,1,3,26520.86
131739,9,1,3,12695.89
20362,2,2,2,9233.13
32035,0,3,2,29912.23
17125,2,4,1,7858.32
12681,3,2,1,1268.15
36594,0,3,2,31801.89
16039,3,2,1,1569.32
31959,8,3,2,3212.46
215461,5,4,3,44105.83
13539,10,2,1,1403.81
57543,6,4,2,5760.69
13907,7,3,1,1360.63
44293,5,1,2,4279.56
214042,0,4,3,200698.93
422134,2,2,3,230629.46
37941,4,1,2,3701.67
24766,2,3,2,12343.94
25721,7,5,2,2552.25
16656,2,2,1,5990.21
93530,3,4,3,44770.04
51139,0,2,2,42334.02
294278,6,5,3,30640.96
154968,5,1,3,16118.48
17326,6,4,1,1728.33
73360,2,4,2,38722.55
71970,8,2,2,7555.96
87864,6,5,3,8527.99
317860,2,3,3,200054.41
21341,4,5,2,4325.06
75153,7,2,2,7663.14
405630,2,4,3,268437.63
64250,1,1,2,37305.66
17308,9,4,1,1656.98
333762,1,1,3,208863.44
324410,3,2,3,135860.53
401631,5,4,3,79889.27
140222,5,4,3,27332.65
26002,8,2,2,2574.84
204806,1,1,3,129725.49
353053,0,2,3,293396.8
132572,3,5,3,73680.1
151981,3,5,3,85801.42
40075,7,1,2,3860.15
381435,7,2,3,37764.76
66154,3,2,2,15900.92
25591,9,1,2,2537.44
98488,1,3,3,74991.26
186904,0,1,3,155800.12
411458,0,5,3,370312.2
56850,8,5,2,5485.6
65743,5,4,2,6743.3
12932,8,2,1,1297.55
58475,5,4,2,5988.05
25465,3,2,2,6209.18
67098,5,3,2,6608.31
92141,1,2,3,62224.18
20768,8,2,2,2139.31
15984,4,5,1,1605.89
58096,6,1,2,5569.45
283612,2,5,3,205266.66
195979,10,2,3,19073.04
69089,4,2,2,6603.89
6136,6,2,1,616.5
18177,1,3,1,11340.59
324132,8,4,3,31521.53
46404,0,4,2,45896.46
57506,3,2,2,13866.46
404894,7,2,3,41848.95
17814,10,5,1,1835.63
206846,1,2,3,138356.44
59547,7,4,2,6025.18
10037,2,3,1,3976.1
66683,7,3,2,6652.51
68745,4,5,2,13757.71
425064,9,2,3,40561.16
17842,10,4,1,1813.56
21428,5,5,2,2074.56
16292,3,3,1,2451.28
16549,4,1,1,1668.34
33353,4,4,2,5000.1
341014,10,3,3,32766.44
52851,3,1,2,10288.11
13860,1,5,1,10501.23
8727,6,2,1,887.35
462108,6,4,3,47536.13
472429,5,2,3,45093.03
48914,8,4,2,4783.68
16564,0,2,1,13748.87
16020,4,4,1,1584.48
38888,3,1,2,7602.22
12616,6,3,1,1300.67
132040,3,4,3,68507.94
466080,2,1,3,237066.2
148090,0,2,3,131976.33
76602,9,3,2,7634.33
79857,7,4,2,8345.66
127993,0,2,3,111173.02
14384,3,5,1,3542.89
70522,10,1,2,7216.47
12836,0,3,1,11780.33
434911,0,5,3,391419.9
30634,2,2,2,14444.75
43221,0,3,2,39739.51
23986,1,2,2,16086.19
10801,2,3,1,4343.05
67347,9,1,2,6956.31
175437,9,4,3,17715.74
28878,3,1,2,5905.8
34749,10,4,2,3337.22
16877,6,3,1,1764.15
7720,6,3,1,796.95
52660,5,5,2,5358.53
48387,0,2,2,42875.14
317783,1,5,3,261362.19
69077,3,1,2,14318.52
19025,6,2,1,1931.23
53388,1,1,2,32218.86
13370,10,4,1,1330.65
358167,7,4,3,35146.13
246950,1,2,3,174771.14
38192,4,3,2,3996.74
15934,9,5,1,1624.49
12405,5,3,1,1245.16
40461,9,4,2,4243.96
54320,9,1,2,5194.62
255030,2,4,3,166849.15
18974,0,5,1,18521.43
51182,0,3,2,45121.92
481199,10,1,3,45796.82
197613,0,5,3,177851.7
94107,7,2,3,9733.58
39903,0,2,2,34698.07
41118,6,1,2,4196.26
12219,6,1,1,1187.59
41995,7,1,2,4236.41
12358,3,2,1,1277.18
13328,5,3,1,1280.17
70803,2,2,2,31777.63
20607,2,2,2,8942.79
79068,10,2,2,8150.5
60040,0,5,2,54036.0
18517,6,1,1,1808.6
42988,4,1,2,4094.59
9874,9,3,1,955.7
30413,8,3,2,3034.42
481788,6,5,3,49615.02
13070,8,4,1,1267.54
10330,5,3,1,1033.21
46623,7,5,2,4805.48
13060,7,5,1,1294.2
34052,1,1,2,21130.46
58634,8,5,2,6103.63
290613,4,5,3,116743.54
37484,1,4,2,28968.7
18350,7,3,1,1878.25
7387,2,2,1,2495.78
39195,0,3,2,33733.24
6988,4,4,1,690.42
10267,8,2,1,1066.97
263464,2,3,3,159702.04
29759,10,1,2,2944.79
10711,9,3,1,1025.15
8255,0,5,1,8229.51
17185,2,2,1,6311.49
53262,4,1,2,5298.1
72290,4,4,2,11017.01
47930,8,3,2,4820.51
69760,10,4,2,6908.69
41680,3,1,2,7983.41
8035,6,2,1,824.27
13669,6,2,1,1399.16
372866,6,1,3,38837.9
9173,7,3,1,916.2
13372,7,3,1,1306.88
7314,9,2,1,750.49
13521,5,4,1,1380.52
73093,6,2,2,7031.23
66414,5,3,2,6441.08
9874,8,5,1,977.45
37852,2,3,2,19517.13
10587,6,4,1,1081.08
45917,5,1,2,4773.25
75912,0,2,2,63717.99
7368,5,4,1,738.55
11892,9,5,1,1147.12
289718,9,1,3,28568.65
16732,2,2,1,6064.61
151253,9,3,3,15119.36
68812,8,1,2,7067.17
59365,0,3,2,54966.69
145279,2,3,3,86965.41
14030,3,1,1,1439.33
65177,6,1,2,6691.82
272552,8,2,3,27209.09
13754,8,3,1,1324.61
15154,8,3,1,1530.47
12988,1,1,1,7156.52
58058,7,5,2,5551.01
6636,9,5,1,671.81
50918,2,2,2,22515.85
260573,9,2,3,25638.51
18177,1,1,1,10262.73
70884,10,4,2,6807.06
380117,7,2,3,38328.31
241778,5,4,3,49935.44
24023,8,5,2,2420.08
16717,5,1,1,1754.27
67730,0,5,2,60957.0
11412,7,3,1,1123.49
35283,6,2,2,3626.02
337444,6,5,3,34743.37
32227,1,4,2,23053.16
16977,4,4,1,1682.34
392293,2,3,3,229791.35
63829,5,2,2,6239.71
10561,1,1,1,5652.37
17240,9,4,1,1730.58
157286,4,3,3,46185.03
55997,5,2,2,5422.21
266342,9,5,3,27662.32
112646,4,1,3,22020.24
26450,10,2,2,2591.06
14336,7,5,1,1411.18
488003,10,1,3,50462.33
20374,3,3,2,6353.6
8306,2,5,1,4219.55
52985,5,4,2,5516.21
13061,7,4,1,1273.4
15091,0,3,1,13578.6
21185,2,3,2,10161.33
19078,5,5,1,1975.93
28843,8,4,2,2770.01
39508,7,5,2,4080.44
19908,0,2,1,17591.27
20946,7,1,2,2128.14
70048,7,5,2,6656.25
5227,7,1,1,508.95
7091,6,5,1,708.94
364766,9,3,3,36358.8
10282,7,2,1,978.75
14079,4,5,1,1416.54
20679,0,2,2,17076.15
24193,10,5,2,2471.2
14899,2,5,1,7447.54
65642,3,3,2,19268.38
19439,5,1,1,1876.21
80397,7,1,3,8188.16
53774,6,4,2,5380.28
69522,10,2,2,6683.22
64681,2,1,2,25747.35
18567,7,5,1,1813.21
68828,5,1,2,6645.09
100649,10,4,3,10015.29
39018,10,5,2,3884.52
44902,9,3,2,4267.14
34184,3,3,2,10108.06
55086,10,5,2,5234.65
19518,9,1,1,1964.22
65146,5,5,2,6596.68
68654,9,1,2,7084.93
464683,9,4,3,45870.51
303655,2,1,3,145268.16
75746,6,1,2,7358.52
7067,0,3,1,6654.37
45208,5,3,2,4621.72
66516,8,2,2,6911.57
8767,4,5,1,859.1
484963,4,1,3,99084.15
69920,3,1,2,13626.9
34980,9,1,2,3549.92
203530,0,4,3,193284.94
14000,2,2,1,5012.7
9316,10,1,1,902.14
252417,10,2,3,25155.17
56076,3,5,2,21447.76
71283,4,4,2,10510.61
306317,7,3,3,29274.4
443604,4,3,3,138712.86
28839,4,1,2,2760.49
111708,2,2,3,59413.37
19640,10,2,1,1943.67
304361,0,5,3,301855.99
62949,7,3,2,6094.28
18460,9,4,1,1792.59
120748,8,1,3,12600.06
46558,9,3,2,4530.56
54264,4,3,2,5580.39
31637,5,4,2,3181.43
56879,9,2,2,5899.19
29274,6,2,2,3028.56
15013,3,1,1,1511.77
60310,5,5,2,6226.44
207883,2,2,3,116826.18
19830,0,5,1,17847.0
10641,8,3,1,1033.15
439991,7,3,3,42675.36
293596,7,1,3,28995.76
19965,0,1,1,16566.04
159326,0,4,3,146167.32
128050,5,1,3,12794.56
6366,0,5,1,6321.47
9896,7,4,1,1012.73
135709,0,1,3,106435.93
17109,1,3,1,11664.15
28066,9,3,2,2733.52
348325,3,1,3,127538.46
46241,0,4,2,45633.44
110929,0,1,3,86337.0
27982,1,4,2,20881.6
63109,8,3,2,6240.12
11606,1,3,1,7600.9
66405,3,2,2,17241.12
71526,6,4,2,7376.86
489643,6,1,3,47180.56
114919,0,2,3,93054.27
72590,1,4,2,54916.54
32339,8,3,2,3334.51
38829,2,4,2,20923.73
16764,5,4,1,1626.82
6246,9,2,1,633.72
5642,3,5,1,1420.46
15848,5,3,1,1544.94
230320,10,5,3,22817.62
161651,10,3,3,15939.9
377976,9,3,3,36912.8
70667,2,4,2,37092.95
14364,10,5,1,1446.85
7830,7,4,1,813.99
29334,3,3,2,8798.9
10607,4,3,1,1065.04
6705,4,1,1,675.57
6795,5,3,1,706.28
31334,8,2,2,3000.05
129008,0,3,3,112675.14
9133,4,1,1,933.88
9435,3,4,1,1896.34
17085,2,4,1,7908.59
290040,2,2,3,151728.73
303262,0,2,3,258216.34
42268,9,5,2,4063.12
10428,5,2,1,1035.49
17333,0,3,1,15998.02
82683,2,5,3,55910.02
64188,1,2,2,42179.73
71859,1,4,2,52048.42
16586,5,4,1,1605.79
11298,3,5,1,2701.84
55970,5,3,2,5442.39
384901,6,1,3,39307.84
67278,10,5,2,6475.38
23134,7,2,2,2422.46
6350,3,5,1,1612.8
63617,4,4,2,9258.54
65184,10,2,2,6595.85
264757,7,3,3,27303.4
29124,0,3,2,26286.87
59179,4,1,2,5639.09
33673,1,2,2,21871.87
26213,9,1,2,2575.72
45753,1,5,2,35311.41
61438,10,2,2,6040.05
16654,0,5,1,14988.6
121441,2,2,3,63779.91
123705,2,5,3,88820.81
7762,0,5,1,7429.9
60751,2,1,2,25184.31
8720,1,4,1,5897.19
165783,3,5,3,94013.82
10646,2,5,1,5486.2
175559,1,4,3,139786.76
313718,6,5,3,32517.16
258868,3,1,3,89000.99
11814,7,5,1,1146.81
10941,5,5,1,1117.9
329860,4,3,3,102382.41
135564,5,1,3,13861.43
18080,7,3,1,1824.33
5600,1,2,1,3417.76
367196,9,1,3,37969.7
30846,0,2,2,25520.01
213785,0,5,3,192406.5
14238,0,1,1,11519.96
75209,5,5,2,7488.73
429396,2,1,3,225410.81
114057,9,5,3,11474.88
160099,4,1,3,32425.9
152334,3,3,3,66665.29
288580,10,4,3,29136.41
230514,4,3,3,67366.07
7516,1,1,1,4331.09
453941,5,1,3,45048.38
16699,2,5,1,8208.91
44315,4,2,2,4596.78
39273,2,5,2,22730.99
12394,5,1,1,1281.95
213435,8,2,3,20351.31
11669,8,1,1,1208.06
14998,4,5,1,1569.99
50551,4,2,2,5061.27
22632,6,5,2,2251.89
99155,0,1,3,76852.6
14388,0,4,1,13305.32
42846,2,4,2,23892.0
78894,9,5,2,7496.14
10011,5,5,1,1020.42
13852,1,5,1,10799.95
7809,5,2,1,753.14
344438,10,4,3,34132.51
108840,2,1,3,56247.28
483012,1,5,3,407037.48
50853,0,3,2,43600.99
76449,2,3,2,37730.38
221214,9,3,3,22387.75
62958,4,3,2,6569.81
30460,3,5,2,11583.64
304779,3,5,3,165858.34
186863,5,1,3,18684.74
30245,8,1,2,2957.04
46127,10,2,2,4732.67
66812,4,1,2,6423.18
62313,9,1,2,6368.95
7943,6,5,1,757.3
66736,1,5,2,51670.75
17396,8,4,1,1786.5
15003,2,4,1,6704.18
66940,6,5,2,6369.62
255233,10,2,3,26382.47
24232,10,5,2,2326.07
73939,3,2,2,18540.88
71311,5,4,2,7117.75
96779,0,4,3,95203.1
68251,10,5,2,6586.38
207293,10,3,3,20181.59
5688,5,4,1,545.14
12817,4,1,1,1308.97
62895,9,2,2,6129.54
8017,8,1,1,840.69
144463,8,1,3,14602.18
228974,5,4,3,45038.66
20411,1,3,2,14923.74
25896,6,3,2,2522.23
15400,7,5,1,1613.33
25160,8,4,2,2555.86
5181,2,5,1,2498.91
17132,9,3,1,1798.74
148050,10,1,3,15515.51
74919,4,3,2,7584.3
25030,2,2,2,10988.55
55349,4,3,2,5653.78
31267,9,1,2,3167.01
32617,0,5,2,31002.38
8696,3,5,1,2175.24
53046,10,4,2,5194.1
76634,3,3,2,21990.04
386722,6,4,3,37834.14
14801,3,3,1,2231.29
15565,9,2,1,1615.18
55136,10,2,2,5437.03
77895,9,4,2,7782.02
13712,3,2,1,1381.04
42842,4,3,2,4337.06
46031,0,3,2,39406.77
10224,8,5,1,980.38
14298,2,4,1,6407.42
218457,1,1,3,139714.05
5172,5,5,1,521.01
19212,7,4,1,1900.76
43496,5,4,2,4254.19
9729,7,1,1,985.81
29219,6,4,2,2818.11
39326,1,2,2,24347.67
18605,10,5,1,1867.93
79520,5,5,2,8177.87
74893,3,3,2,21856.29
18960,10,5,1,1921.96
47000,0,5,2,42300.0
286812,0,3,3,268972.19
417903,9,3,3,43480.4
417481,0,3,3,379288.29
73832,5,2,2,7683.69
127415,3,4,3,63863.65
69139,6,3,2,7252.78
289246,6,1,3,29713.45
41890,5,4,2,4358.78
372926,3,3,3,169807.36
74198,6,1,2,7397.7
22778,8,5,2,2248.4
15866,5,3,1,1638.32
215006,9,1,3,20727.64
201533,4,1,3,40326.52
26087,2,2,2,11683.93
20178,9,5,2,1961.54
29802,1,3,2,20657.9
16839,7,3,1,1661.73
49046,6,4,2,4742.05
52330,5,3,2,5156.58
192091,6,5,3,19761.99
56776,3,3,2,16791.92
38016,7,1,2,3943.42
368940,10,3,3,35402.0
8645,2,5,1,4488.47
65140,6,3,2,6316.68
56107,5,1,2,5338.02
47646,8,1,2,4796.76
76446,0,1,2,62717.98
12324,8,4,1,1185.26
406335,7,5,3,42181.3
18015,0,2,1,15652.89
19000,4,3,1,1966.02
14838,2,4,1,6982.87
64220,6,3,2,6148.87
58413,7,5,2,6030.42
8096,0,5,1,7286.4
50425,9,4,2,5235.22
272171,9,4,3,27848.45
88492,10,5,3,8777.44
312743,4,3,3,95027.31
52573,2,1,2,20384.55
73697,3,1,2,14974.31
59931,5,3,2,5993.28
305306,10,2,3,31032.48
12192,4,5,1,1172.28
27261,8,1,2,2656.3
55338,6,3,2,5352.59
433794,4,1,3,88286.32
74279,5,5,2,7145.42
52858,4,5,2,10402.04
237320,8,1,3,23994.09
392529,1,1,3,263214.06
9749,3,3,1,1435.86
5837,1,4,1,3968.83
75852,5,3,2,7881.8
8538,7,2,1,863.78
168147,0,4,3,157938.78
343444,2,4,3,216656.29
6423,1,5,1,4626.63
43707,8,1,2,4340.48
342570,1,1,3,212501.5
38328,1,3,2,27315.92
78501,4,4,2,11829.0
68989,1,2,2,44325.7
23083,1,4,2,17438.97
57411,4,1,2,5687.29
302631,1,2,3,218403.31
419146,6,2,3,43577.89
9830,8,4,1,936.12
8083,10,4,1,806.02
65870,0,1,2,50549.67
77621,8,3,2,7442.3
12408,7,2,1,1202.78
58699,10,1,2,5791.6
478215,9,1,3,46788.57
152316,3,4,3,78701.33
11797,10,2,1,1159.02
22655,5,2,2,2200.51
19863,5,4,1,1935.79
8173,4,5,1,853.53
9095,8,1,1,879.86
179566,3,2,3,73349.26
13279,1,5,1,9871.82
93097,9,1,3,9525.63
62312,2,3,2,30365.96
76121,9,4,2,7848.69
279508,3,4,3,134934.88
270645,9,5,3,27072.92
121983,3,2,3,48120.97
41578,5,1,2,3973.44
22836,1,2,2,15076.14
44928,10,3,2,4322.3
11779,7,2,1,1169.17
297956,0,4,3,291792.08
344131,9,1,3,35074.31
15820,3,4,1,3304.97
10635,9,2,1,1081.54
179391,0,1,3,144477.53
447778,5,5,3,107849.14
174918,10,4,3,16757.81
291106,7,1,3,28660.6
9278,10,2,1,946.89
24888,2,3,2,12327.52
6868,5,2,1,694.8
320167,4,4,3,111051.55
18628,8,5,1,1942.59
59651,6,4,2,5915.33
139637,0,1,3,109491.76
66471,0,1,2,54129.14
5301,5,4,1,555.09
187799,6,4,3,18137.41
459468,4,3,3,135625.62
202580,8,3,3,19583.48
348944,4,5,3,142552.42
48516,5,3,2,4965.51
335024,1,3,3,240737.72
18311,8,4,1,1905.31
14663,5,3,1,1508.85
276736,3,2,3,111700.44
78699,6,4,2,7961.85
121747,10,4,3,12210.94
14169,7,5,1,1396.27
314294,6,1,3,31286.01
20772,6,3,2,2102.83
39814,0,4,2,36690.16
13500,0,1,1,10762.1
79229,0,1,2,60301.99
8005,6,5,1,798.26
198837,5,4,3,40214.61
33683,5,2,2,3247.78
15724,6,1,1,1633.8
60178,5,1,2,5809.66
407554,10,1,3,39470.43
314559,0,2,3,263712.6
44671,0,5,2,44529.53
28390,1,3,2,20758.14
16715,5,1,1,1639.94
33900,5,2,2,3435.74
240507,0,3,3,217191.84
21500,9,1,2,2097.0
12709,7,4,1,1259.42
22449,0,4,2,20773.64
13663,8,2,1,1346.96
5644,10,5,1,580.69
70237,5,3,2,6770.49
48449,5,3,2,4921.45
49534,7,4,2,5147.86
73431,2,2,2,33420.98
13738,8,2,1,1367.21
93371,10,5,3,9204.61
279356,6,3,3,28803.07
192324,9,4,3,18456.88
10742,5,5,1,1087.31
10305,6,1,1,993.92
9941,9,3,1,1041.16
70189,4,4,2,10786.56
14481,3,4,1,2789.65
250618,6,4,3,25287.73
8052,8,3,1,798.0
43237,1,2,2,28271.18
290703,8,4,3,29366.61
6746,7,3,1,674.34
23939,6,2,2,2491.0
82083,0,3,3,77290.69
57605,3,5,2,24133.54
11991,1,4,1,8569.37
171835,3,2,3,66162.17
53420,0,4,2,51884.25
456805,6,2,3,43776.32
9569,3,3,1,1487.7
42127,0,4,2,40617.21
19181,8,2,1,1847.86
17797,1,2,1,10430.76
355396,7,4,3,34505.23
78708,4,1,2,7999.4
277956,8,3,3,27376.49
77621,7,4,2,7578.98
11236,5,5,1,1112.94
452984,2,4,3,296630.82
54676,6,4,2,5422.93
18159,8,2,1,1820.03
8143,7,4,1,830.46
17386,7,1,1,1797.26
472811,4,5,3,196570.62
6039,8,5,1,631.8
462666,0,2,3,407923.87
15975,0,5,1,15958.41
188508,2,5,3,131776.26
64967,6,2,2,6617.45
265957,7,2,3,25822.74
13854,7,2,1,1449.86
78342,4,4,2,11842.31
5506,6,1,1,565.68
42137,9,4,2,4170.26
19041,1,1,1,10592.12
10037,8,1,1,1011.24
16927,1,1,1,9084.91
73908,8,3,2,7050.1
7008,2,2,1,2404.58
52545,7,1,2,5468.48
70948,3,4,2,24091.92
22186,2,2,2,9494.81
6419,3,4,1,1280.18
14936,4,4,1,1509.49
383336,6,3,3,38144.05
49689,0,1,2,38097.08
47405,9,1,2,4559.14
44569,8,1,2,4309.95
437404,3,1,3,158020.11
399899,6,2,3,41652.34
449204,2,4,3,285614.64
16056,8,3,1,1556.08
10721,10,4,1,1125.6
28911,6,3,2,2976.04
498700,0,2,3,430614.98
52690,6,1,2,5059.35
118006,9,3,3,12096.12
367899,9,3,3,36553.65
35526,7,1,2,3511.66
293628,4,3,3,87877.84
19327,10,2,1,1956.29
31077,0,4,2,30722.64
16061,1,3,1,10320.69
47518,3,4,2,17292.54
54190,0,5,2,48771.0
465282,8,1,3,47845.38
7005,6,5,1,697.89
39838,2,2,2,18372.56
25429,1,3,2,17741.1
457180,7,3,3,44498.09
97470,7,1,3,9984.98
323927,8,2,3,31659.8
314569,5,3,3,49155.91
15591,8,3,1,1607.63
35628,4,5,2,7098.77
365660,2,5,3,259344.24
174960,0,5,3,157464.0
5527,6,4,1,545.66
14069,2,3,1,5424.9
397004,2,5,3,278994.88
17346,6,5,1,1763.26
8506,3,4,1,1696.62
15258,1,1,1,8722.81
327280,6,1,3,32803.95
12213,9,4,1,1241.73
217577,6,3,3,21715.6
66081,0,3,2,60470.42
366506,7,1,3,36225.49
5761,5,2,1,555.09
325937,2,5,3,233585.69
208798,4,2,3,50096.52
74844,7,1,2,7761.68
124161,9,1,3,12895.62
23930,3,3,2,7159.04
79909,4,5,2,16351.0
83384,2,3,3,49396.97
240453,9,3,3,25059.57
16846,5,1,1,1637.9
492913,5,4,3,101451.27
59419,4,4,2,9167.2
17086,0,2,1,14157.75
9243,3,4,1,1815.55
8845,1,3,1,5981.64
266181,9,4,3,27453.36
210460,7,4,3,21186.7
337817,0,2,3,289899.67
181449,3,4,3,88243.85
13523,6,1,1,1413.3
63814,10,5,2,6310.45
70252,10,2,2,7253.93
384004,8,1,3,37613.89
389690,8,4,3,38960.8
17245,3,3,1,2530.9
18214,5,1,1,1859.86
51645,4,3,2,4941.13
64774,6,4,2,6517.28
63080,1,1,2,38261.92
11777,9,2,1,1157.61
120278,3,1,3,40322.45
49131,1,2,2,31556.1
436482,0,1,3,364774.47
34558,2,2,2,14912.5
59312,4,3,2,6028.76
86912,7,2,3,8723.63
71344,1,1,2,43408.04
317620,5,5,3,81317.2
77132,10,3,2,7370.19
39813,10,5,2,3840.53
56676,2,1,2,22805.63
403079,8,1,3,41415.06
48609,8,5,2,4973.22
464571,4,3,3,136336.76
37213,8,1,2,3649.16
28519,7,5,2,2884.45
11771,7,5,1,1185.57
26558,9,5,2,2746.32
231902,2,3,3,135340.39
67900,3,1,2,14000.42
373447,10,3,3,35862.11
74897,2,3,2,37408.75
69337,0,3,2,64824.54
19903,7,1,1,1970.28
52655,4,3,2,5444.02
5204,9,1,1,527.2
358086,6,5,3,36865.67
58158,1,2,2,37461.93
60098,8,3,2,5918.4
152278,5,4,3,29237.95
43253,5,4,2,4133.27
17516,1,4,1,12241.62
277330,0,2,3,246923.23
15639,5,1,1,1577.34
460008,0,1,3,374444.31
79903,7,2,2,7841.99
164253,10,4,3,17019.74
18946,9,1,1,1979.03
69779,4,5,2,14481.41
16441,9,5,1,1631.96
419183,2,2,3,236726.37
68957,5,1,2,6609.65
25476,6,5,2,2541.35
9818,0,3,1,8604.22
5146,10,1,1,493.63
151831,10,4,3,15144.89
495892,5,3,3,77775.42
46942,0,5,2,45287.46
67162,4,1,2,6999.2
47735,3,2,2,12383.47
13447,2,3,1,5169.0
13812,8,5,1,1435.74
5078,4,3,1,499.71
353631,4,3,3,109120.56
14388,1,1,1,8064.35
261855,3,4,3,126791.37
22253,9,1,2,2318.37
52255,9,2,2,5370.31
245467,0,4,3,244277.06
13658,3,5,1,3581.69
14229,2,2,1,4998.95
24707,0,3,2,21561.37
47273,9,4,2,4616.77
378956,6,1,3,37657.89
52595,2,3,2,27585.43
10816,8,5,1,1049.95
161281,5,5,3,38664.74
42450,4,3,2,4422.89
364302,2,1,3,189491.62
6395,3,4,1,1224.17
18086,2,5,1,8988.6
36390,4,2,2,3635.13
470062,4,2,3,116608.41
434688,1,5,3,382948.04
7988,2,1,1,2394.65
162153,7,1,3,16874.1
49599,5,1,2,5176.89
75428,10,4,2,7804.14
14408,2,1,1,4183.33
348610,3,3,3,157322.96
59045,9,5,2,6186.44
64878,9,2,2,6606.5
21830,6,4,2,2162.38
54304,8,1,2,5207.33
63370,1,5,2,51396.98
172661,6,1,3,16930.28
11364,7,5,1,1178.72
35889,5,1,2,3586.51
76206,6,2,2,7971.78
21843,5,2,2,2185.78
37285,8,5,2,3740.65
421414,8,2,3,41396.76
37583,3,4,2,12952.85
402064,4,2,3,97987.46
311059,4,2,3,79829.7
76881,4,1,2,7800.27
13333,8,2,1,1327.11
49783,0,4,2,45261.39
30200,7,3,2,2987.69
77342,0,2,2,62476.29
103963,4,5,3,39709.36
13608,6,1,1,1363.34
238781,3,4,3,120112.74
24136,0,4,2,23863.34
35856,6,3,2,3513.43
11243,8,5,1,1178.41
16616,3,2,1,1615.05
6087,1,2,1,3777.84
19421,4,3,1,1954.6
56409,3,2,2,13940.15
53872,1,1,2,31341.3
55414,2,1,2,21548.21
15847,4,4,1,1507.39
499965,10,5,3,49251.16
326461,2,4,3,215627.83
60464,1,3,2,44267.89
10871,7,1,1,1104.58
59294,6,2,2,6056.12
38708,1,5,2,29727.99
36627,10,5,2,3643.54
9211,1,4,1,6484.02
39920,10,5,2,3914.04
11646,7,3,1,1130.35
8001,9,2,1,833.12
35773,4,3,2,3625.51
60042,8,4,2,5783.47
